POST;часть речи
NOUN;имя существительное
ADJF;имя прилагательное (полное)
ADJS;имя прилагательное (краткое)
COMP;компаратив
VERB;глагол (личная форма)
INFN;глагол (инфинитив)
PRTF;причастие (полное)
PRTS;причастие (краткое)
GRND;деепричастие
NUMR;числительное
ADVB;наречие
NPRO;местоимение-существительное
PRED;предикатив
PREP;предлог
CONJ;союз
PRCL;частица
INTJ;междометие
ANim;категория одушевлённости
anim;одушевлённое
inan;неодушевлённое
GNdr;род / род не выражен
masc;мужской род
femn;женский род
neut;средний род
ms-f;общий род (м/ж)
NMbr;число
sing;единственное число
plur;множественное число
Sgtm;singularia tantum
Pltm;pluralia tantum
Fixd;неизменяемое
CAse;категория падежа
nomn;именительный падеж
gent;родительный падеж
datv;дательный падеж
accs;винительный падеж
ablt;творительный падеж
loct;предложный падеж
voct;звательный падеж
gen1;первый родительный падеж
gen2;второй родительный (частичный) падеж
acc2;второй винительный падеж
loc1;первый предложный падеж
loc2;второй предложный (местный) падеж
Abbr;аббревиатура
Name;имя
Surn;фамилия
Patr;отчество
Geox;топоним
Orgn;организация
Trad;торговая марка
Subx;возможна субстантивация
Supr;превосходная степень
Qual;качественное
Apro;местоименное
Anum;порядковое
Poss;притяжательное
V-ey;форма на -ею
V-oy;форма на -ою
Cmp2;сравнительная степень на по-
V-ej;форма компаратива на -ей
ASpc;категория вида
perf;совершенный вид
impf;несовершенный вид
TRns;категория переходности
tran;переходный
intr;непереходный
Impe;безличный
Impx;возможно безличное употребление
Mult;многократный
Refl;возвратный
PErs;категория лица
1per;1 лицо
2per;2 лицо
3per;3 лицо
TEns;категория времени
pres;настоящее время
past;прошедшее время
futr;будущее время
MOod;категория наклонения
indc;изъявительное наклонение
impr;повелительное наклонение
INvl;категория совместности
incl;говорящий включён (идем, идемте)
excl;говорящий не включён в действие (иди, идите)
VOic;категория залога
actv;действительный залог
pssv;страдательный залог
Infr;разговорное
Slng;жаргонное
Arch;устаревшее
Litr;литературный вариант
Erro;опечатка
Dist;искажение
Ques;вопросительное
Dmns;указательное
Prnt;вводное слово
V-be;форма на -ье
V-en;форма на -енен
V-ie;"форма на -и- (веселие, твердостию); отчество с -ие"
V-bi;форма на -ьи
Fimp;деепричастие от глагола несовершенного вида
Prdx;может выступать в роли предикатива
Coun;счётная форма
Coll;собирательное числительное
V-sh;деепричастие на -ши
Af-p;форма после предлога
Inmx;может использоваться как одуш. / неодуш.
Vpre;Вариант предлога ( со, подо, ...)
Anph;Анафорическое (местоимение)
Init;Инициал
Adjx;может выступать в роли прилагательного
Ms-f;колебание по роду (м/ж/с): кофе, вольво
Hypo;гипотетическая форма слова (победю, асфальтовее)
